item_id,order_id,product_id,quantity,unit_price,discount_percent
335,335,215,2,5529,67
336,336,310,4,2106,42
337,337,40,1,1746,6
338,338,335,1,5389,66
339,339,240,3,3994,88
340,340,240,3,4062,99
341,341,437,3,5497,69
342,342,130,4,3962,98
343,343,245,3,4986,60
344,344,104,4,5970,94
345,345,62,5,3327,65
346,346,308,4,3777,76
347,347,452,5,3060,35
348,348,263,4,4218,67
349,349,472,2,1839,66
350,350,34,4,4070,13
351,351,212,2,4011,49
352,352,314,2,4014,56
353,353,456,3,2092,16
354,354,227,5,3279,32
355,355,491,2,1835,52
356,356,389,2,3298,98
357,357,484,2,5229,51
358,358,131,5,1314,68
359,359,378,1,2663,71
360,360,179,3,4315,94
361,361,111,3,5376,82
362,362,337,4,3588,35
363,363,225,4,694,0
364,364,435,3,1874,41
365,365,200,4,3426,61
366,366,385,5,534,83
367,367,221,5,5978,78
368,368,467,4,4920,99
369,369,122,2,1442,69
370,370,262,5,1783,77
371,371,496,1,3297,7
372,372,268,1,1770,40
373,373,456,2,1527,98
374,374,359,5,264,54
375,375,368,1,4086,65
376,376,367,3,1737,19
377,377,145,4,4459,50
378,378,297,4,1288,15
379,379,243,4,1580,17
380,380,171,2,1292,78
381,381,472,3,5204,81
382,382,347,3,1712,78
383,383,135,5,830,24
384,384,94,2,3071,78
385,385,231,2,2854,71
386,386,282,1,5458,16
387,387,106,4,567,23
388,388,116,-3,2752,19
389,389,466,3,4140,72
390,390,249,3,3555,18
391,391,49,3,1501,81
392,392,171,4,5525,57
393,393,132,5,5411,83
394,394,500,3,3204,1
395,395,344,5,5438,86
396,396,181,4,1880,85
397,397,186,2,4376,88
398,398,350,3,5461,35
399,399,494,5,689,94
400,400,410,3,498,78
401,401,338,2,2371,86
402,402,291,2,1877,42
403,403,456,2,4434,55
404,404,110,3,3890,44
405,405,310,4,5766,100
406,406,287,3,2101,40
407,407,242,4,2798,20
408,408,34,3,1847,28
409,409,150,4,5413,64
410,410,378,3,3999,32
411,411,70,1,1249,65
412,412,108,4,1115,45
413,413,499,5,2461,59
414,414,81,5,1394,2
415,415,342,2,5334,38
416,416,130,-3,2643,2
417,417,140,1,1665,37
418,418,75,2,556,31
419,419,489,1,5420,7
420,420,272,3,5989,67
421,421,176,3,3818,73
422,422,264,-1,2555,86
423,423,171,2,1551,69
424,424,265,4,5060,56
425,425,169,2,5339,80
426,426,101,4,2590,52
427,427,38,3,4298,50
428,428,66,2,4363,61
429,429,13,2,2102,15
430,430,103,4,5181,84
431,431,128,1,4100,50
432,432,157,1,5151,37
433,433,23,1,1606,11
434,434,350,3,3819,6
435,435,298,3,2199,27
436,436,17,3,1770,72
437,437,321,4,1489,87
438,438,60,4,1450,14
439,439,475,1,4424,57
440,440,422,3,4231,9
441,441,309,3,2007,33
442,442,236,5,3988,38
443,443,189,4,3204,36
444,444,36,1,1018,34
445,445,342,5,1471,84
446,446,287,3,3159,64
447,447,349,5,5314,77
448,448,455,5,2361,91
449,449,293,1,2502,7
450,450,271,4,4865,85
451,451,315,3,880,47
452,452,343,-4,1164,45
453,453,235,3,1034,75
454,454,323,1,1822,18
455,455,320,2,5702,48
456,456,199,2,4266,59
457,457,361,1,2853,19
458,458,144,2,5314,78
459,459,486,5,2955,25
460,460,218,2,5692,28
461,461,159,4,4795,85
462,462,469,3,3667,4
463,463,28,3,1487,66
464,464,110,5,1109,9
465,465,491,3,4461,74
466,466,391,4,4700,85
467,467,437,4,4346,5
468,468,7,1,5307,2
469,469,264,2,5793,41
470,470,275,5,4100,63
471,471,334,-3,5370,86
472,472,380,4,2046,6
473,473,186,4,2497,0
474,474,215,2,5973,71
475,475,405,5,4245,51
476,476,97,3,1035,77
477,477,74,2,4535,69
478,478,186,3,4867,33
479,479,186,4,1204,91
480,480,422,2,5875,64
481,481,405,4,4156,38
482,482,1,1,4712,13
483,483,117,3,4185,21
484,484,36,2,3134,60
485,485,311,3,1937,83
486,486,62,3,5629,29
487,487,443,1,2312,51
488,488,3,5,3804,18
489,489,301,3,3949,27
490,490,381,1,5467,42
491,491,287,1,1484,83
492,492,234,1,5449,68
493,493,262,5,4386,35
494,494,34,5,4810,57
495,495,445,5,5259,77
496,496,417,5,1781,69
497,497,129,5,5159,55
498,498,428,2,3403,67
499,499,22,3,2892,81
500,500,256,4,1776,85
